*** START OF AKTAHEADER ***
Başlık: All About Dogs
Yazar: Charles Henry Lane
Yayın Tarihi: April 14, 2014 [EBook #45377]
Dil: English
Link: https://www.gutenberg.org/ebooks/45377
Çeviri: Python-deep_translator-GoogleTranslator
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of All About Dogs, by Charles Henry Lane

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org/license


Title: All About Dogs
       A Book for Doggy People

Author: Charles Henry Lane

Illustrator: R. H. Moore

Release Date: April 14, 2014 [EBook #45377]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

*** START OF TURKISH PART ***
Chris Curnow, monkeyclogs ve http://www.pgdp.net adresindeki Çevrimiçi
Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu
dosya The Internet Archive tarafından cömertçe sağlanan
resimlerden üretilmiştir)

KÖPEKLER HAKKINDA HER ŞEY
_Köpek İnsanları İçin Bir Kitap_

TARAFINDAN
CHARLES HENRY LANE
_Yetiştirici, Sergi Sahibi, Jüri_

[İllüstrasyon: _Pellissier & Allen, Ph. Sc._
Chas. H. Lane]

KÖPEKLER HAKKINDA HER ŞEY

KÖPEK İNSANLARI İÇİN BİR KİTAP
CHARLES HENRY LANE'DEN

Yetiştirici, Sergi Sahibi, Jüri

ZAMANIMIZIN EN ÜNLÜ ŞAMPİYONLARININ SEKSEN YEDİ RESMİYLE
YAŞAMDAN ÇİZİLMİŞ

R. H. MOORE'DAN

[Resim: Çeşitli köpekler.]

JOHN LANE
LONDRA VE NEW YORK
1901

Telif Hakkı
JOHN LANE'e aittir
1900

RIGGS PRINTING CO.
ALBANY, N.Y., ABD

_Dünyanın dört bir yanındaki Köpek severlere ve hayranlarına,
BU KÜÇÜK KİTAP
Yazar tarafından saygıyla ithaf edilmiştir, en sadık, bağlı ve güvenilir
DOST
İnsan Irkının._

İLLÜSTRASYONLAR

ÖN RESİM. YAZARIN FOTOGRAVÜRÜ.

------------------+-----------------------+---------------------+-----------------
ÇEŞİT. | HAYVAN ADI. | SAHİBİN ADI. | Sayfa.
St. Bernard |Böl. Rehber |J. F. Smith |149-150
(pürüzsüz) | | |
Newfoundland |Böl. Badenoch Kurdu |Bayan Ingleton |151-152
(siyah) | | |
Newfoundland |Böl. Kettering Harikası |Leydi Tollemache |153-154
(siyah ve | | |
beyaz) | | |
Mastiff |Böl. Beaufort |W. K. Taunton |157-158
Dalmaçyalı |Böl. Berolina |E. T. Parker |159-160
(siyah. sptd) | | |
Dalmaçyalı |Böl. Fauntleroy |W. B. Herman |163-164
(canlı. sptd) | | |
Collie (pürüzlü) |Lochiel |H. R. H. the |167-168
| | Galler Prensesi |
Collie (pürüzsüz) |Böl. Leydi Nellie |Yazar |171-172
Eski İngilizce Shp. Köpek|Böl. Aşk Tanrısının Okları |F. W. Wilmot |175-176
Bull Dog (büyük) |Böl. Böğürtlen |Saml. Woodiwiss |181-182
Bull Dog (orta)|Böl. Barney Barnato |G. R. Sims |185-186
Bull Dog (küçük) |Böl. Leydi Rozelle |Yazar |189-190
Bull Terrier |Böl. Sherbourne Q'n |W. J. Pegg |191-192
Boston Teriyeri |Turpin |Bayan J. Tozier |195-196
İrlanda Teriyeri |Böl. Ted Malone |Bayan Butcher |197-198
Airedale Teriyeri |Böl. Dumbarton Lass |A. E. Jennings |201-202
Bedlington |Böl. Clyde Boy |R. H. Smith |203-204
Teriyer | | |
Gal Teriyeri |Böl. Brynhir Burner |W. S. Glynn |207-208
Siyah ve Kahverengi |Böl. Starkie Ben |Yarbay C. S. Dean |209-210
Teriyer | | |
Beyaz Müh. |Böl. Eclipse |J. Walsh |213-214
Teriyer | | |
Kaniş (kordonlu) |Böl. Model |Mad'me Dagois |221-222
Kaniş (kıvırcık) |Bölüm Rufus |Bayan Robt. Long |223-224
Pomeranya |Bölüm Koenig of |Bayan Hamilton |227-228
(büyük) | Rozelle | |
Pomeranya |Marco |H. M. Kraliçe Victoria |229-230
(orta) | | |
Pomeranya |Bölüm Brilliant |Jno. Duckworth |233-234
(küçük orta) | | |
Pomeranya (oyuncak) |Bölüm Ch. & Pr. |Bayan Ada de Pass |237-238
| Tina | |
Pug (açık kahverengi) |Bölüm York |Bayan Grelliche |239-240
Pug (siyah) |Bölüm & Pr. Duke Beira |Bayan C. F. A. |243-244
| | Jenkinson |
Schipperke |Ch. Zwarte Piot. |I. N. Woodiwiss |247-248
Kral Charles |Ch. Laureate |Hon. Mrs. McL. |249-250
Spaniel | | Morrison |
Blenheim Spaniel |Ch. Rollo |Mrs. Forder |253-254
Prens Charles |Ch. Victor Wild |H. Taylor |255-256
Spanl | | |
Ruby Spaniel |Ch. Jasper |Mrs. Woodgate |259-260
Japon Spaniel |Ch. of Ch. Dai Butzu |Mrs. Addis |261-262
Sm. Toy Terrier |Ch. Mascotte Model |Mrs. Monk |265-266
Yorksh. Toy |Ch. Ashton Queen |Mdes Walton & Beard |267-268
Terrier | | |
Malta Terrier |Ch. Pixie |John Jacobs |271-272
Griffon |Marquis de Carabas |Count H. de Bylandt |273-274
Bruxelles | | |
Oyuncak Boğa Köpeği |Rabot de Beaubourg |Monsieur Petit |277-278
Oyuncak Boğa Terrier |Lily |Yazar |279-280
İtalyan |Ch. Larkfield |P. Turner |281-282
Tazı | Leveret | |
Norveç |Jaeger |Lady Cathcart |287-288
Elkhound | | |
Afgan Tazısı |Shahzada |J. Whitbread |289-290
Thibet Koyun Köpeği |Siring |H. R. H. Prens |293-294
| | Galler, K. G. |
Eskimaux |Ch. Arctic King |Bayan H. C. Brooke |295-296
Chow Chow |Ch. Chow 8. |Bayan Faber |299-300
Dingo |Ch. Myall |Bayan H. C. Brooke |301-302
Çin Tepeli |Çin İmparatoru |W. K. Taunton |305-306
Köpek | | |
Lapland Sledge |Perla |H. R. H. Prens |309-310
Köpek | | Galler, K. G. |
Dogue de |Ch. Sans Peur |Bayan H. C. Brooke | ...
Bordeaux | | |
------------------+----------------------+--------------------+--------

İÇİNDEKİLER

BÖLÜM I

BÖLÜM SAYFA

Önsöz iii

Giriş v

I. Genel Olarak Köpekler Hakkında Birkaç Söz 1

SPORDA KULLANILAN KÖPEKLER

II. Tazılar, Tilki Tazıları, Harrier'lar, Beagle'lar 9

III. Tazılar, Su Samuru Tazıları, Alman Dogu Köpekleri 27

IV. Pointer'lar, Setter'lar, Retriever'lar 43

V. Sporting Spaniel'ler, Basset Tazıları, Dachshund'lar 69

VI. Tazılar, İskoç Geyik Tazıları, İrlanda Kurt Tazıları,
Borzoiler, Whippet'ler 99

SPORDA KULLANILAN TERRİERLER

VII. Tilki, Dandie Dinmont'lar, Skye'lar, İskoç 117

BÖLÜM II

İŞTE KULLANILAN KÖPEKLER

VIII. St. Bernard'lar, Newfoundland'lar, Mastiff'ler,
Dalmaçyalılar 147

IX. Çoban Köpekleri:--Kaba Collie'ler, Düz Collie'ler, Eski
İngiliz 169

X. Bull Dog'lar, Bull Terrier'ler, Boston Terrier'ler 179

XI. Terrier'ler,--İrlanda, Airedale, Bedlington, Siyah ve
Ten, Eski İngiliz 199

BÖLÜM III

PERFORMANS VE OYUNCAK IRKLARI

XII. Kanişler, Pomeranyalılar, Pug'lar, Schipperke'ler 219

XIII. Oyuncak Spanieller,--Kral Charles, Prens Charles, Ruby,
Blenheim, Japon 245

XIV. Terrierler,--Oyuncak, Pürüzsüz Siyah ve Kahverengi, Yorkshire,
Malta, Griffonlar Brüksel 263

XV. Oyuncak Bull Köpekleri, Oyuncak Bull Terrier'ler, İtalyan
Tazılar 275

KISIM IV

XVI. Yabancı Köpekler Hakkında Bir Şeyler 291

XVII. Gösteri Halkalarının Mizah ve Kaprisleri 311

XVIII. }
ila } Köpekler Hakkında Kişisel ve Seçilmiş Anekdotlar 322
XXIII. }

XXIV. Genel Yönetim ve Köpeklerin Maruz Kaldığı Bazı
Basit Hastalıklar ve Tedavileri Hakkında Birkaç Söz 389

KISIM I

İÇERİK

KISIM I

BÖLÜM SAYFA

Önsöz iii

Giriş v

I. Genel Olarak Köpekler Hakkında Birkaç Söz 1

SPORDA KULLANILAN KÖPEKLER

II. Stagound'lar, Foxhound'lar, Harrier'lar, Beagle'lar 9

III. Bloodhound'lar, Otterhound'lar, Alman Dogu Köpekleri 27

IV. Pointer'lar, Setter'lar, Retriever'lar 43

V. Sporting Spaniel'ler, Basset Tazıları, Dachshund'lar 69

VI. Tazılar, İskoç Geyik Tazıları, İrlanda Kurt Tazıları,
Borzoi'ler, Whippet'ler 99

SPORDA KULLANILAN TERRİER'LER

VII. Tilki, Dandie Dinmont'lar, Skye'lar, İskoç 117

ÖN SÖZ

Bana söylendiğine göre, bu küçük çalışmaya bir Önsöz eklenmesi gerekiyor; ancak içine ne koyacağımı bilmiyorum. Ele aldığı konu hakkında söyleyeceklerimi kitapta söyledim ve eklemek veya çıkarmak istediğim bir şey bilmiyorum. Kitabın okunmasının, okuyucularıma, hem iki hem de dört ayaklı birçok arkadaşımın hoş anılarını anımsatarak verdiği yazı kadar zevk vermesini umuyorum, bunlardan bazıları çoktan
"çoğunluğa katıldı." Köpek ırkının birçok çeşidiyle önemli pratik deneyime sahip olan ve en iyi örneklerle sürekli temas halinde olan birinin izlenimlerini kaydederken, kitabımın köpek kitaplarının olağan akışının biraz dışında olduğunu düşünüyorum. Bilimsel bir inceleme veya terimin olağan kabulüyle bir doğa tarihi üretmeyi amaçlamamakla birlikte, isteğim, köpeklerin sahip olduğu birçok çekicilikten habersiz olan okuyucularımın zihninde bir tür köpeği arkadaş ve dost olarak edinme isteği uyandırmak ve çok sayıda köpek seven arkadaşımın sevgisini ve ilgisini teyit etmekti, böylece hayal güçlerinin sınırlarını genişletmeye ve muhtemelen Show Rings veya Köpek Anekdotları'nın mizah ve kaprislerinden bazılarıyla ilgilenmeye ve eğlenmeye meyilli olabilirler. Bunlar, kişisel bilgim dahilinde olmadığında, bazen "Köpek Hikayeleri" başlığı altında okuduğumuz "Peri Masalları"ndan kaçınmak için doğrulamaya çalıştım. Bu açıklamaları kapatmadan önce, kitabıma yetenekli kaleminin paha biçilmez avantajını veren, "Köpek Dünyasının Işıkları"nın, altmıştan fazla "Şampiyon"u da içeren, kendi çeşitlerinin olduğu çok sayıda mükemmel ve gerçek portreyi tasvir eden arkadaşım Bay R. H. Moore'a derin şükranlarımı sunmalıyım. Daha önce bu kadar çok sayıda Köpek Ünlüsünün bir ciltte bir araya getirildiğini bilmiyorum ve bunlar şimdiye kadar gördüğüm en iyi köpek resimlerinden bazılarını temsil ediyor, hatta Bay Moore ve sanırım çoğu köpek sever, özellikle ifadeleri yakalamakta ve konularının gerçek benzerliğini yakalamakta çok mutlu olduğunu kabul edecektir, diğer komisyonlarla çok fazla baskı altında olduğumda bu konuyu benim için nazikçe ele aldı, sadece bana farklı çeşitler için en seçkin ve tipik örneklerin seçilmesinde değerli tavsiyelerinden yararlanmakla kalmadı, aynı zamanda işe en büyük şevk ve gayretle girdi; bu nedenle, bana Günümüz Köpeklerinin böylesine ilginç ve umarım öğretici bir Resim Galerisi'ni Kamuoyuna sunma olanağı verdiği için ona ifade edebileceğimden daha fazla borçlu hissediyorum. Bu birkaç kelimeyle küçük kitabımı halkın ilgisinin sıkıntılı sularına emanet ediyorum.

GİRİŞ

Sanırım, Hayvan Krallığı'nın tamamını, ister bir arkadaş, ister bir yardımcı olarak insanla herhangi bir şekilde ilişkilendirirsek, popülerlik açısından bu notların konusuyla karşılaştırılabilecek hiçbir şey yoktur; ama yine de
hayvan severlerle bile yaptığım sohbetlerde, köpekler, çeşitleri, özellikleri ve tuhaflıkları hakkında çok yanlış fikirlere rastladım.
Bence, bildiğimiz diğer hayvanlardan daha fazla bilinen ve kabul edilen köpek çeşidi var ve yolları, boyutları, görünümleri ve özellikleri o kadar büyük farklılıklar gösteriyor ki, _bir_
türün çekici gelmeyeceği
bir insan bulmak neredeyse imkansız. Mümkünse, daha önce köpek beslememiş bazı kişilerin zihninde, bunu yapma isteğini uyandıracak bir şeyler söylemek istiyorum ve ister sadece bir koruma veya arkadaş olarak, isterse de iyi örnekler üretmeyi denemek ve ara sıra, son yirmi yılda sayıları ve kaliteleri o kadar artan Köpek Sergilerinden bazılarını ziyaret etmek için olsun, sık sık şunu duydum: Cumartesi ve Pazar günleri hariç, yılın her normal gününde bir yerde bir Köpek Gösterisi düzenleniyor!

Seçtiğiniz herhangi bir türde, iyi yetiştirilmiş bir köpek edinmenizi şiddetle tavsiye ederim, çünkü sadece etrafınızda, köpek veya başka bir şey olsun, istediğiniz herhangi bir cinsin en iyi temin edilebilir türünü bulundurmak daha tatmin edici olmakla kalmaz, aynı zamanda orijinallerden veya yavrularından herhangi birinden ayrılmak isterseniz, genellikle alıcı bulmak ve "soy ağacı" adı verilen, yani bir veya daha fazla neslin soyunun bilindiği, hiçbir ayrıntı veya referans verilemediğinde olduğundan çok daha iyi fiyatlara almak çok daha kolaydır. Köpeklerde de diğer şeylerde olduğu gibi modalar vardır ve farklı köpek cinsleri için birçok "çılgınlık" hatırlayabiliyorum. Akıllı, canlı, oyunbaz küçük dostlar olan ve hemen hemen her koşula uyum sağlayabilen Fox Terrier'ler uzun süredir rağbet görmüştür ve hala büyük ölçüde, belki de kendi boyutlarındaki herhangi bir cins kadar büyük ölçüde tutulmaktadır; Onların lehine olan bir diğer unsur ise, fazla tüyleri olmaması ve bu nedenle, evde tutulduklarında kirli havalarda bile üzerlerine fazla çamur getirmemeleridir. Bu, elbette, Skye Terrier'lerine karşı olmuştur, aksi takdirde ev için sermaye köpekleridir, hayat ve ruh doludurlar, ancak herhangi bir düzende tutulmaları için ara sıra fırçalanmaları gerekir, aksi takdirde sert ve düz, bir atın kuyruğunun dokusu ve düzlüğüne benzer tüyleri keçeleşir ve bir süs yerine bir şekil bozukluğuna dönüşür. Bir süredir, neredeyse hiç bozulmamış kırmızımsı kahverengi renkte olması gereken İrlanda Terrier'i lehine büyük bir hareket vardır, yani çok az veya hiç gölgeleme olmadan, yani kendi renginde. Bu, bir atı, bir tuzağı takip edebilen, iyi bir bekçi veya arkadaş olabilen, "yurtdışı yürüyüşlerinde" kendine bakabilen veya haşere hattında yoluna çıkan her şeyi yapabilen "her yönden iyi" bir türdür.

Ev bekçisi veya arkadaşı olarak alabileceği uygun bir köpek konusunda şüphesi olanlara şiddetle tavsiye edebileceğim iki tür daha var. Bunlar, genellikle Die-hard veya Aberdeen-Terrier olarak adlandırılan, sivri kafalı, dik kulaklı, kısa bacaklı, genellikle siyah, kırçıllı veya benekli renkte, oldukça tıknaz, kısa bacaklı bir cinstir. 1868'de İngiltere'de görülen ilk cinsi (en azından daha önce hiç görmemiştim) Skye adasındaki Uig adlı bir yerden getirdiğime inanıyorum ve oldukça karakterliydi ve benimle yaşadığı uzun yıllar boyunca büyük zekası ve çok ilginç tavırları hakkında birçok örnek verebilirim. "Mutlu avlanma alanlarına" çoktan gittiğini söylemekten üzüntü duyuyorum. "Köpek Anekdotları"nda onunla ilgili daha fazla şey söyleyeceğim.

Bahsettiğim diğer cins ise Sir Walter Scott tarafından ölümsüzleştirilen Dandie Dinmont Terrier'dir. Zeka, cesaret, sadakat ve sahibinin yollarına ve isteklerine genel uyum sağlama açısından, onu geçebilecek hiçbir cins bilmiyorum. Birçok durumda, ailelerde nesiller boyunca beslenen bir Dandie türü tanıdım ve köpeklerle sahipleri arasındaki sevgi o kadar büyük ki, hiçbir para bir ayrılığı getiremezdi ve sık sık iyi bilinen Dandie türlerinin soyağaçlarını ve soy ağaçlarını gördüm, bunları bir düzine nesil geriye götürüyor ve sahipleri veya yetiştiricileri tarafından çok değerli bulunuyorlardı. Bir köpeğin bakıcısı olmak isteyen kişi ne karar verirse versin, eğer evin bir sakini olacaksa ve daha küçük ırklardan biriyse, hava akımı olmayan bir yere bir kutu veya sepet konulmalı ve üzerine dezenfektan emdirilmiş biraz talaş veya dezenfektanın kendisi serpildikten sonra bir yatak için saman konulmalıdır; bu, saman veya herhangi bir tür halı veya paspastan daha iyidir ve böcek barındırma olasılığı daha düşüktür.

Ancak köpek dışarıda tutulacaksa, girişi yan tarafta olan ve rüzgardan, yağmurdan ve kardan korunaklı, geliştirilmiş kulübelerden birini edinin ve içinde iki veya tercihen üç döner halka bulunan bir zincir yaptırın, böylece bükülmesin. Birçok köpek bu küçük konuların ihmal edilmesi nedeniyle yaralanmış ve hatta ölmüştür.

Elbette, eğer uygun bir yer bulunursa, köpeği hiç bağlamamak çok daha iyidir. Benim hiçbir köpeğim (ve son yirmi beş yılda neredeyse bilinen her cinsten yüzlerce köpeğim oldu) bir gösteri dışında tasma veya zincir görmez ve gösteri tezgahlarındaki köpeklere sempati duyanların sıklıkla dile getirdiği yaygın düşüncenin aksine, sergi çalışmalarına alışkın köpekler bundan _hoşlanır_ ve bir köpeğin seyahat kutusu veya sepetinin görüntüsü veya üzerinde gösteri etiketi olan bir zincirin şıngırtısı, köpeklerim arasında her an en çılgın heyecanı yaratmaya yeter, her köpek gösteriye gitmenin kendi şansı olmasını umar ve bunu büyük bir eğlence olarak görürler.

Şunu söylemeyi taahhüt ediyorum ki, eğer bahçeye kapakları açık bir şekilde bir düzine kutu veya sepet yerleştirilirse ve aynı sayıda köpek kulübelerinden çıkarılırsa, beş dakika içinde her kutuda bir sakin bulursunuz ve her biri genellikle içinde seyahat ettiği kutuyu seçer! Köpeğinizi veya köpeklerinizi, köpeklerin ihtiyaçlarını karşılayan birçok firmanın artık temin edebildiği, bir kulübe veya uyku kutusu gibi bir şey olan, raylı koşu yolu olan birçok gevşek kutu veya kulübeden birine koymak çok daha iyidir. Gördüğüm en temiz ve en iyilerden biri, (hafızam beni yanıltmıyorsa doksan şilin) ​​benzer bir fiyata, bu tür işlerle ilgili olarak kendi alanında oldukça önemli bir makale yazmış olan Gloucestershire, Sharpness'lı Bay William Calway tarafından yapılmıştır. Dikkat edilmesi gereken bir diğer konu ise, hava durumu kesinlikle engellemiyorsa, köpeğe bol bol egzersiz yaptırmaktır. Birçok kişi, bir köpeğin bir arabada veya başka bir ulaşım aracında havaya kaldırılmasının yeterli olduğunu düşünür, ancak _öyle değildir_ ve köpeklerin çoğunluğu her gün en az iki saat yürüyüş egzersizi yaparak daha da iyi bir hale gelir, bu süre zarfında efendilerinin veya hanımlarının kat ettiği mesafeyi neredeyse iki katına çıkarırlar ve belki bir şeyler içerler, biraz ot toplarlar veya başka şekillerde eğlenirler!

Suya gelince, köpekler birçok insanın sandığı kadar su içmezler ve elbette sık sık değiştirilen bir su kaynağını, kulübenin veya uyku kutusunun dışındaki bahçede bulundurmak daha iyidir. Köpekler, kural olarak, dışarı çıkarken veya egzersizden dönerken, kendi odalarında olduğundan daha fazla su içmeyi severler ve eğer orada tutulursa, özellikle iki veya daha fazla kişi bir arada olduğunda, bunun rahatsız edici olması ve ortamın kötü görünmesi neredeyse kesindir.

Çok önemli bir konu da köpeklerin beslenmesidir. Günümüzde, çok sayıda firma, geniş köpek topluluğunun ihtiyaçlarını karşılamak için bisküvi ürettiğinde, bunlardan bazılarını elde etmekte zorluk yoktur, ancak köpeklerle ilgili uzun deneyimimde, neredeyse tüm ırkların köpek bisküvisi yediğini gördüm - bazıları verildiğinde bile onları bütün olarak alır ve kemik gibi doğrar, _kuru bile_ - çoğu durumda, onları ceviz büyüklüğünde parçalamak ve kullanmadan önce bir gün önce sıcak suda, et suyunda veya hatta soğuk suda bekletmek daha iyidir. Haşlanmış sebzeler, patates, lahana veya benzeri bir şey daha sonra bunlara karıştırılırsa, sadece daha lezzetli olmakla kalmaz, köpekler için bisküvinin kendisinden daha iyidir ve ara sıra, diyelim ki haftada veya on günde bir, orta büyüklükte bir köpek için yaklaşık bir çay kaşığı oranında kükürt unu yemeğe karıştırılmalıdır. Biz kendimiz biliyoruz ki, paranın satın alabileceği en cazip yiyecek ne olursa olsun, her zaman aynıysa ondan bıkmalıyız ve bu tam olarak hayvanlar için de geçerlidir, bu yüzden ne kadar çeşitli olursa o kadar iyidir, hatta değişiklik az bile olsa ve köpeklerle çok fazla ilgisi olan herkes, bazı köpeklerin ve hatta bazı köpek ırklarının iştahlarında çok hayalperest ve kaprisli olduğunu ve her zaman iyi olmaya meyilli olmadığını bilir. Köpekler "yemsiz" olduğunda, kaynatılıp sonra parçalanmış bir koyun başı ve kemikleri, eti ve suyu normal yiyecekleriyle karıştırıldığında, genellikle en zarif yemi "getirir"; Diğer köpekler, insanlar için yapılmış gibi yulaf lapasına çok düşkündür, ancak tabii ki _şekersiz_, ki bunun köpeklere _asla_ verilmemesi gerektiğini söyleyebilirim, _herhangi bir biçimde_,
çünkü onlar için doğal olmayan ve zararlı bir yiyecektir, ancak
genellikle hemen hemen her zaman bir şeker parçası yemeye oldukça isteklidirler, ancak
onsuz çok daha iyidirler_. Süt (yağsız, aksi takdirde midelerini bozma olasılığı
yüksektir) de düşük kondisyondaki veya keyifsiz köpekler için harika bir şeydir. Kaynatıldıktan sonra soğuk veya ılık olarak verilmesi en iyisidir, çünkü doğal halinde kurtlara neden olma olasılığı
düşünülür, ancak elbette durum her zaman böyle değildir. Ayrıca,
"bovril"in hasta listesindeki veya "kötü davranan" hayvanlar için "canlandırıcı" veya meze olarak yararlı olduğunu
buldum.

KÖPEKLER HAKKINDA HER ŞEY

BÖLÜM I

GENEL OLARAK KÖPEKLER HAKKINDA BİRKAÇ SÖZ

Bu ilerleme günlerinde, herkesin ve her şeyin eğilimi, herkesin yaptığı her şeyi geride bırakmaya çalışmak, hatta sıklıkla gördüğümüz gibi "rekoru kırmak" gibi görünüyor, sanırım sadece gerçek gerçeği söylüyorum, dünya tarihinde köpekler hiçbir zaman şu anki kadar yüksek bir değere sahip olmadılar, ne de çeşitli şekillerde bu kadar iyi bakıldılar, ne de bu kadar popüler oldular. Ve türlerin birçok çeşidini, bir ailenin üyelerinde mümkün olduğunca farklı olduğunu ve görünüş, alışkanlıklar, eğilimler, kullanımlar ve özelliklerin de aynı şekilde çeşitli olduğunu düşündüğümüzde, bu kadar çok kamusal ilgi görmelerine
şaşırmamak gerekir, çünkü _hiçbir köpek cinsinin_ kabul edilemez olduğu garip bir şekilde oluşturulmuş bir insan varlığı olmalı!

